,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
0,1,Shape of You,Ed Sheeran,85,105408325,"['pop', 'uk pop']",0.825,0.652,1,-3.183,0,0.0802,0,0.0931,0.931,95.977,233713,4,False,7qiZfU4dY1lWllzX7mPBI3,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),2017
1,2,Believer,Imagine Dragons,87,43537945,"['modern rock', 'rock']",0.776,0.78,10,-4.374,0,0.128,0,0.081,0.666,124.949,204347,4,False,0pqnGHJpmpxLKifKRmU6WP,53XhwfbYqKCa1cC15pYq2q,Evolve,2017
2,3,Despacito,Luis Fonsi,79,10713839,"['latin pop', 'puerto rican pop']",0.655,0.797,2,-4.787,1,0.153,0,0.067,0.839,177.928,229360,4,False,6habFhsOp2NvshLv26DqMb,4V8Sr092TqfHkfAA5fXXqG,VIDA,2017
3,4,Bad Things (with Camila Cabello),Machine Gun Kelly,71,4874369,"['ohio hip hop', 'pop', 'pop rap']",0.697,0.691,2,-4.757,1,0.146,0,0.185,0.305,137.853,239293,4,False,1PSBzsahR2AKwLJgx8ehBj,6TIYQ3jFPwQSRmorSezPxX,bloom,2017
4,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,74,4981043,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",0.72,0.763,9,-4.068,0,0.0523,0,0.18,0.742,101.965,251088,4,False,5knuzwU65gJK7IF5yJsuaW,6MDME20pz9RveH9rEXvrOM,Rockabye (feat. Sean Paul & Anne-Marie),2017
5,6,Havana (feat. Young Thug),Camila Cabello,79,28592183,"['dance pop', 'pop', 'post-teen pop']",0.765,0.523,2,-4.333,1,0.03,3.56e-05,0.132,0.394,104.988,217307,4,False,1rfofaqEpACxVEHIZBJe6W,4nDoRrQiYLoBzwC5BhVJzF,Camila,2017
6,7,Thunder,Imagine Dragons,84,43537945,"['modern rock', 'rock']",0.605,0.822,0,-4.833,1,0.0438,0.134,0.147,0.288,167.997,187147,4,False,1zB4vmk8tFRmM9UULNzbLB,53XhwfbYqKCa1cC15pYq2q,Evolve,2017
7,8,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,61,38687623,['pop'],0.783,0.61,7,-6.124,1,0.0696,0,0.0983,0.418,100.047,214265,4,False,1nueTG77MzNkJTKQ0ZdGzT,04gDigrS5kc9YWfZHwBETP,Red Pill Blues (Deluxe),2017
8,9,Something Just Like This,The Chainsmokers,84,19672668,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",0.617,0.635,11,-6.769,0,0.0317,1.44e-05,0.164,0.446,103.019,247160,4,False,6RUKPb4LETWmmr3iAEQktW,69GGBxA162lTqCwzJG5jLp,Memories...Do Not Open,2017
9,10,Perfect,Ed Sheeran,87,105408325,"['pop', 'uk pop']",0.599,0.448,8,-6.312,1,0.0232,0,0.106,0.168,95.05,263400,3,False,0tgVpDi06FyKpA1z0VMD4v,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),2017
10,11,There's Nothing Holdin' Me Back,Shawn Mendes,85,39919244,"['canadian pop', 'dance pop', 'pop', 'viral pop']",0.866,0.813,11,-4.063,0,0.0554,0,0.0779,0.969,121.998,199440,4,False,7JJmb5XwzOO8jgpou264Ml,7n2wHs1TKAczGzO7Dd2rGr,Illuminate (Deluxe),2017
11,12,Say You Won't Let Go,James Arthur,85,10613993,"['pop', 'talent show', 'uk pop']",0.358,0.557,10,-7.398,1,0.059,0,0.0902,0.494,85.043,211467,4,False,5uCax9HTNlzGybIStD3vDh,4IWBUUAFIplrNtaOHcJPRM,Back from the Edge,2017
12,13,Bored,Billie Eilish,84,72283522,"['art pop', 'electropop', 'pop']",0.614,0.318,7,-12.695,1,0.0478,0.00239,0.0795,0.112,119.959,180933,4,False,04sN26COy28wTXYj3dMoiZ,6qqNVTkY8uBg9cP3Jd7DAH,Bored,2017
13,14,Love On The Brain,Rihanna,84,51120446,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",0.509,0.637,4,-4.83,0,0.0471,1.08e-05,0.0789,0.378,172.006,224000,3,True,5oO3drDxtziYU2H1X23ZIp,5pKCCKE2ajJHZ9KAiaK11H,ANTI (Deluxe),2017
14,15,Jocelyn Flores,XXXTENTACION,84,39086063,"['emo rap', 'miami hip hop']",0.872,0.391,0,-9.144,0,0.242,4.13e-06,0.297,0.437,134.021,119133,4,True,7m9OqQk4RVRkw9JJdeAw96,15UsOTVnJzReFVN1VCnxy4,17,2017
15,16,goosebumps,Travis Scott,84,21399433,"['rap', 'slap house']",0.841,0.728,7,-3.37,1,0.0484,0,0.149,0.43,130.049,243837,4,True,6gBFPUFcJLzWGx4lenP6h2,0Y5tJX1MQlPlqiwlOH1tJY,Birds In The Trap Sing McKnight,2017
16,17,HUMBLE.,Kendrick Lamar,83,22059978,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.908,0.621,1,-6.638,0,0.102,5.39e-05,0.0958,0.421,150.011,177000,4,True,7KXjTSCq5nL1LoYtL7XAwS,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,2017
17,18,Sign of the Times,Harry Styles,83,24493873,['pop'],0.516,0.595,5,-4.63,1,0.0313,0,0.109,0.222,119.972,340707,4,False,5Ohxk2dO5COHF1krpoPigN,6KImCVD70vtIoJWnq6nGn3,Harry Styles,2017
18,19,That's What I Like,Bruno Mars,83,44487480,"['dance pop', 'pop']",0.853,0.56,1,-4.961,1,0.0406,0,0.0944,0.86,134.066,206693,4,False,0KKkJNfGyhkQ5aFogxQAPU,0du5cEVh5yTK9QJze8zA0C,24K Magic,2017
19,20,Mask Off,Future,82,12495624,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",0.833,0.434,2,-8.795,1,0.431,0.0219,0.165,0.281,150.062,204600,4,True,0VgkVdmE4gld66l8iyGjgx,1RyvyyTE3xzB2ZywiAwp0i,FUTURE,2017
20,21,Passionfruit,Drake,82,69088297,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.809,0.463,11,-11.377,1,0.0396,0.085,0.109,0.364,111.98,298941,4,True,5mCPDVBb16L4XQwDdbRUpz,3TVXtAsR1Inumwj472S9r4,More Life,2017
21,22,Little Dark Age,MGMT,82,2644790,"['alternative dance', 'indietronica', 'modern rock', 'rock']",0.705,0.712,6,-6.156,1,0.0385,0.000855,0.1,0.62,97.512,299960,4,False,2Y0iGXY6m6immVb2ktbseM,0SwO7SWeDHJijQ3XNS7xEE,Little Dark Age,2017
22,23,XO Tour Llif3,Lil Uzi Vert,82,14063662,"['melodic rap', 'philly rap', 'rap', 'trap']",0.732,0.75,11,-6.366,0,0.231,0,0.109,0.401,155.096,182707,4,True,7GX5flRQZVHRAGd6B4TmDO,4O15NlyKLIASxsJ0PrXPfz,Luv Is Rage 2,2017
23,24,No Lie,Sean Paul,82,4123131,"['dance pop', 'dancehall', 'pop rap']",0.742,0.882,7,-2.862,1,0.117,0,0.206,0.463,102.04,221176,4,False,48QmG1dfvMuYLxMPt7KSRA,3Isy6kedDrgPYoTS1dazA9,Mad Love The Prequel,2017
24,25,Attention,Charlie Puth,82,18386191,"['dance pop', 'pop', 'viral pop']",0.775,0.613,3,-4.586,0,0.0542,2.33e-05,0.134,0.797,100.066,208787,4,False,5cF0dROlMOK5uNZtivgu50,6VuMaDnrHyPL1p4EHjYLi7,Voicenotes,2017
