,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Harry Styles,As It Was,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.00101,0.311,0.662,173.93,167303,4
1,Taylor Swift,Midnights,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,0.637,0.643,4,-6.571,1,0.0519,1.8e-06,0.142,0.533,97.008,200690,4
2,Sam Smith,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,0.714,0.472,2,-7.375,1,0.0864,4.51e-06,0.266,0.238,131.121,156943,4
3,Jack Harlow,First Class,First Class,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,9.71e-06,0.113,0.324,106.998,173948,4
4,Kate Bush,Hounds of Love (2018 Remaster),Running Up That Hill (A Deal With God) - 2018 Remaster,29d0nY7TzCoi22XBqDQkiP,0.625,0.533,10,-11.903,0,0.0596,0.00266,0.0546,0.139,108.296,300840,4
5,Beyoncé,RENAISSANCE,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.689,7,-5.668,1,0.141,9.69e-06,0.0698,0.642,115.042,225389,4
6,Lizzo,About Damn Time,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0,0.335,0.722,108.966,191822,4
7,Steve Lacy,Gemini Rights,Bad Habit,4k6Uh1HXdhtusDW5y8Gbvy,0.686,0.494,1,-7.093,1,0.0355,5.8e-05,0.402,0.7,168.946,232067,4
8,Joji,Glimpse of Us,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,4.78e-06,0.141,0.268,169.914,233456,3
9,Harry Styles,Harry's House,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,10,-4.595,1,0.0468,0,0.106,0.901,114.996,177955,4
10,Camila Cabello,Familia,Bam Bam (feat. Ed Sheeran),2DB4DdfCFMw1iaR6JaR03a,0.756,0.697,8,-6.377,1,0.0401,0,0.333,0.956,94.996,206071,4
11,Bad Bunny,Un Verano Sin Ti,Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.712,1,-5.105,0,0.0817,2.68e-05,0.0933,0.425,92.005,178567,4
12,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",2tTmW7RDtMQtBk7m2rYeSw,0.621,0.782,2,-5.548,1,0.044,0.033,0.23,0.55,128.033,198938,4
13,ROSALÍA,DESPECHÁ,DESPECHÁ,5ildQOEKmJuWGl2vRkFdYc,0.919,0.623,7,-6.521,1,0.0992,1.63e-05,0.0609,0.775,130.037,157018,4
14,Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,0.65,0.715,5,-5.198,0,0.253,0.000291,0.126,0.187,106.672,243717,4
15,Anitta,Envolver,Envolver,3IAfUEeaXRX9s9UdKOJrFI,0.812,0.736,4,-5.421,0,0.0833,0.00254,0.0914,0.396,91.993,193806,4
16,Nicki Minaj,Super Freaky Girl,Super Freaky Girl,4C6Uex2ILwJi9sZXRdmqXp,0.95,0.891,2,-2.653,1,0.241,1.77e-05,0.309,0.912,133.01,170977,4
17,GAYLE,abcdefu,abcdefu,4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4,-5.692,1,0.0493,0,0.367,0.415,121.932,168602,4
18,Glass Animals,Dreamland (+ Bonus Levels),Heat Waves,02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,6.7e-06,0.0921,0.531,80.87,238805,4
19,Lil Nas X,MONTERO,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0,0.0486,0.546,87.981,143901,4
20,Ed Sheeran,=,Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0,0.0424,0.822,141.02,207853,4
21,Justin Bieber,Justice,Ghost,6I3mqTwhRpn34SLVafSH7G,0.601,0.741,2,-5.569,1,0.0478,2.91e-05,0.415,0.441,153.96,153190,4
22,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,0.881,0.592,2,-4.898,1,0.0324,1.32e-05,0.0901,0.719,101.058,154487,4
23,Olivia Rodrigo,SOUR,good 4 u,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0,0.0849,0.688,166.928,178147,4
24,BLACKPINK,Pink Venom,Pink Venom,0skYUMpS0AcbpjcGsAbRGj,0.798,0.697,0,-7.139,1,0.0891,0,0.259,0.745,90.031,186964,4
25,Dove Cameron,Boyfriend,Boyfriend,59CfNbkERJ3NoTXDvoURjj,0.345,0.612,7,-6.543,0,0.0608,0,0.194,0.232,179.773,153000,3
26,Post Malone,Twelve Carat Toothache,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,0.733,0.67,5,-6.009,1,0.0751,0,0.121,0.472,100.964,192841,4
27,Taylor Swift,Midnights,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,0.733,0.436,10,-10.489,1,0.08,0.000573,0.157,0.0976,96.985,202396,4
28,Adele,30,Easy On Me,46IZ0fSY2mpAiktS3KOqds,0.604,0.366,5,-7.519,1,0.0282,0,0.133,0.13,141.981,224695,4
29,The Weeknd,Dawn FM,Sacrifice,1nH2PkJL1XoUq8oE6tBZoU,0.735,0.795,11,-6.523,0,0.113,3.18e-05,0.0678,0.905,122.0,188918,4
30,Elton John,The Lockdown Sessions,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,0.795,0.8,1,-6.32,1,0.0309,7.25e-05,0.0915,0.934,116.032,202735,4
31,Rihanna,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,35ovElsgyAtQwYPYnZJECg,0.247,0.299,9,-6.083,1,0.0315,0,0.131,0.172,177.115,196520,4
32,Lin-Manuel Miranda,Encanto (Original Motion Picture Soundtrack),We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,0.577,0.45,0,-8.516,0,0.0834,0,0.111,0.83,205.863,216120,4
33,Beyoncé,BREAK MY SOUL,BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,0.687,0.887,1,-5.04,0,0.0826,2.21e-06,0.27,0.853,114.941,278282,4
34,Doja Cat,Planet Her,Woman,6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,5,-4.175,0,0.0854,0.00294,0.117,0.881,107.998,172627,4
35,KAROL G,PROVENZA,PROVENZA,7dSZ6zGTQx66c2GF91xCrb,0.87,0.516,1,-8.006,1,0.0541,0.00823,0.11,0.53,111.005,210200,4
36,Shakira,Te Felicito,Te Felicito,2rurDawMfoKP4uHyb2kJBt,0.695,0.636,5,-4.654,1,0.317,0,0.081,0.575,174.14,172235,4
37,Bad Bunny,Un Verano Sin Ti,Moscow Mule,6Xom58OOXk2SoU711L2IXO,0.804,0.674,5,-5.453,0,0.0333,1.18e-06,0.115,0.292,99.968,245940,4
38,BLACKPINK,BORN PINK,Shut Down,0ARKW62l9uWIDYMZTUmJHF,0.82,0.686,0,-5.102,1,0.038,0,0.184,0.668,110.058,175889,3
39,Becky G,MAMIII,MAMIII,1ri9ZUkBJVFUdgwzCnfcYs,0.843,0.7,4,-3.563,0,0.0803,0,0.14,0.899,93.991,226088,4
40,Megan Thee Stallion,Sweetest Pie,Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,0.814,0.628,7,-7.178,1,0.221,0,0.101,0.677,123.977,201334,4
41,Imagine Dragons,Enemy (with JID) [from the series Arcane League of Legends],Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,0.728,0.783,11,-4.424,0,0.266,0,0.434,0.555,77.011,173381,4
42,Labrinth,Imagination & the Misfit Kid,All For Us,76YSWx6L6FNsuaP6GWBb8P,0.46,0.66,3,-6.642,1,0.0652,0.000139,0.34,0.18,141.722,191710,4
43,The Weeknd,After Hours (Deluxe),Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,1oFAF1hdPOickyHgbuRjyX,0.65,0.825,0,-4.645,1,0.0325,2.44e-05,0.0936,0.593,118.091,191014,4
44,Lil Nas X,MONTERO,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,10,-7.395,0,0.0672,0,0.0476,0.892,150.087,212353,4
45,The Kid LAROI,F*CK LOVE 3: OVER YOU,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,0.591,0.764,1,-5.484,1,0.0483,0,0.103,0.478,169.928,141806,4
46,Adele,30,Oh My God,3Kkjo3cT83cw09VJyrLNwX,0.534,0.725,1,-3.906,1,0.046,0,0.0264,0.55,88.098,225149,4
47,The Weeknd,Dawn FM,Out of Time,2SLwbpExuoBDZBpjfefCtV,0.65,0.76,0,-4.422,0,0.0446,0,0.339,0.838,93.057,214194,4
48,Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),The Joker And The Queen (feat. Taylor Swift),6N1K5OVVCopBjGViHs2IvP,0.528,0.309,0,-7.398,1,0.0329,2.1e-06,0.282,0.307,133.83,185422,4
49,Labrinth,I’m Tired (with Zendaya) - Bonus Track,I’m Tired (with Zendaya) - Bonus Track,6LtHYDgYHRCHoKK3snfr2w,0.375,0.133,0,-10.624,0,0.0352,0,0.0695,0.192,131.721,187944,4
50,Shawn Mendes,When You're Gone,When You're Gone,0U1W2LZVUX7qTm7dDpqxh6,0.603,0.691,5,-5.805,1,0.0372,0,0.583,0.577,147.148,172267,4
